Package name,Reviewer name,Review,Rating
com.whatsapp,Karen B,"I'd give more than 2 stars if I could reach someone to resolve issue. Whenever I attempt to attach photos/video from gallery, it wont allow me to select them. Of course, I also have to select Gallery from the 3 buttons on the right, but regardless, I cannot select and send. This is very frustrating as I use this for work and used to be able to do this with captions for each pic. Now I have to attach, write caption, send and do it again (from another app!)",2
com.whatsapp,Hilmy B,"Was good. But the latest update doesn't allow you to select multiple pictures to send, you have to send one at a time. It now also requires multiple steps to get to your album just to be able to share pics. So you have to go through multiple steps to get to your gallery (which wasn't intuitive after years of using it) and you can only select 1 pic at a time.....",1
com.whatsapp,RAF Strayhorn,"It's a good app and it does the job but changing from one phone to another is a total nightmare and nobody seems to be able to explain how to do it. The web instructions are confusing and wrong, the independent websites are confusing and wrong, and I just want to transfer everything, including chats, from an old phone and number to a new phone and number. I feel like it would be easier to build a faster than light spaceship and I also feel like it's a lot harder than it absolutely has to be",3
com.whatsapp,Rick C,"Been using whatsapp on my main chromebook flawlessly for about a year. Very few issues. A week or so ago, it started to crash about 90 seconds into my video chats. I would start it up again, and it would inevitably crash again. I would say out of 10 conversations, 9 would crash after about 1 and 1/2 to 2 minutes in. Very ponderous and frustrating. Switched the whatsapp app to another chromebook, same issues. Cleared storage, reinstalled, same. Will switch to another app that actually works.",2
com.whatsapp,alyssa vair,"Edited to include: I can't get notifications that I have messages . It literally pops up and says ""Popup notifications are no longer available in your version of Android"" Really?? What is going on with this app, does the app need an update to keep up with the new phones?? I have a Galaxy S22. Used to be a great app but I suddenly can't watch or send videos and their customer service sucks. I've cecked all my settings and they seem fine.... 🤯😖",2
com.whatsapp,Blaine C,Can't give this app more than a 3. It's definitely meant for transitory experiences and not keeping things longer term. You can export but not import chat histories. Restore from local database doesn't work. No way to keep messages if you somehow end up with them on multiple phones from say using a new number without merging accounts immediately. Sad situation for ppl who like memories. I would recommend Telegram or some other messaging app,3
com.whatsapp,Matt D,"Dog water app. Frustrating UI. Cannot properly sync contacts with phone contact list. Cannot verify account via email--phone only, which is very inconvenient. Each picture must be downloaded to the phone, taking internal space. Cannot log in on multiple devices as advertised. Calling is unreliable on WiFi and data. But hey, this is Meta, not sure why I expected a quality product.",1
com.whatsapp,Sophia de Gastelum,"WhatsApp has been amazing for me since I began using it in 2019. I've never had an issue with it....until last night. I can no longer send or receive messages. I went to the Help and Troubleshooting, I've done the suggestions ...still can't send or receive messages. I've checked for updates as well, my app is up to date. Is there a different suggestion or a fix for this issue? Thanks",5
com.whatsapp,jordan morris,"I have an issue with the call features. Every time im in a call, the screen needs to be on and the app needs to be open or the microphone wont work. I can hear the person im talking sometimes, but they cant hear me if I multi-task/open another app. If I put the phone screen to sleep, it cuts out. I have had this issue since the beginning of the year. Idk what I could be doing but that is the only issue. But its a big issue for be because I call alot.",1
com.whatsapp,Gil Cohen,"Used to be great, not anymore. WhatsApp does not recognize phone's media after the latest Android upgrade. This creates a major inconvenience when it comes to sending files. In addition, phone calls disconnect after a few minutes blaming the phone's microphone. And on top of that, their customer support is the worst i have seen in a long time. So slow and useless. Such a big disappointment!",1
com.whatsapp,Edward Hammock,"Image attachments have stopped working. You can no longer type a message and insert an image. It has to be two separate messages. It also opens up a different gallery view to the normal one, meaning that you can only see the images already in what's app. I've tried uninstalling and reinstalling but it is still not working. Please can this be resolved ASAP.",1
com.whatsapp,Yiliu Siow,"A couple of issues: 1. When selecting photos to be sent, it no longer shows the phone's gallery folders by default. Very inconvenient to have to access it through the 3 dots on top left hand corner. 2. Unable to select multiple photos to be sent at once. Extremely inconvenient. Please look into it and fix them. Thanks",2
com.whatsapp,Elnaz Moein,Since the last update the app doesn't allow you to send multiple pictures. You have to send them one by one which is frustrating and on top of that you no longer have access to your camera gallery. You have to go through multiple stupid annoying steps to try and find the pictures from your camera to send 1 by 1. This app has changed for the worst. It is now useless and garbage. So disappointing,1
com.whatsapp,Humarno Schoonwinkel,"Since the last update, the chat don't organize according to the date of messages. If one is to delete sone messages in a chat then the date of the last message is what it gets organized by. Since the update, the messages are organized since the last time there's been communication with that individual, even if you delete some un-important messages the chat doesn't get reorganized. Please fix this. The previous way helped a lot or at least give us the option to choose. Thank you for listening.",3
com.whatsapp,Diederick Muller,"i love this app, it's very reliable in my opinion, and it has good quality. I don't know what I'd do without it. I just wish there would be more features with the status viewing, where you can make different groups of people who can view your status, and also that you can see who viewed your status when your read receipts are off. I do however dislike the fact that we can't screenshot 1 view photos anymore.",3
com.whatsapp,Bilal Khan,"hi head WhatsApp is a very high and an easy means of communication. Through WhatsApp, people from all over the world are very close to each other, but sometimes there is a problem that is the problem of speaking the language, because one country is different from another country. I don't understand the language easily, there are many countries in it that the language is very strange, such as China, Japan, Indonesia, etc. Sir, I suggest you to use all language voice translator, call translator an",4
com.whatsapp,Ben,"As someone has already mentioned, the latest update has messed around with the gallery whilst sending photos. Yes, you can click the 3 dots in top right and find the main selection of photos but you cannot select more than one at a time now and making it a timely process. Seriously needs to go back to how it was. Please fix!",1
com.whatsapp,Robin Deacon,"Something has gone very wrong in the last update. When attaching photos, the Camera album is no longer accessible (only albums showing images from WhatsApp chats are visible, which is basically pointless). The workaround is to click the three dots, select 'gallery' and then choose 'camera'. This workaround only lets you select one image at a time though, and no video files are shown either! It's a complete pain. WhatsApp Devs, ease un-break this feature!",2
com.whatsapp,Malaz YI,"On Xiaomi mi A3, the app has 2 major problems: 1. Voice notes get sent empty after some random amount of time, force stopping the app and restarting usually solve, but it's super annoying, you be talking for minutes and boom the voice memo is silent! 2. When scrolling up in the chat, the chat glitches for a split of second and scolls itself up way higher than you'd expect it. Like I just wanted to see messages from yesterday, but suddenly I'm at the messages from 3 days ago!!!",1
com.whatsapp,Graeme Francis,"Ever since the last android update on my Samsung gs21, voice and video calls have issues with the sound breaking up. Occasionally it drops the call completely complaining about a microphone fault. There is nothing wrong with the mic. I've cleared the cache but that made no difference. App is currently unusable for calls which is totally infuriating!",2
com.whatsapp,LoW,"Recent update: an update. POP UP NOTIFICATIONS NOT AVAILABLE - I haven't been able to receive notifications on my phone unless I open the app, I am no longer able to turn this feature on at all. Help! Also, when I try to connect to bluetooth devices, my phone is connect to the bluetooth but whatsapp doesn't recognize this and remains on the normal/loud speaker.",3
com.whatsapp,Oxid Media,"used to be very reliable but since FB/Meta took over it's a buggy mess version upon version. lately I have lots of problems with audio clips. they're sometimes completely silent, and after sending one the whole thing bugs out and no further clips are sent. you're just there talking to yourself the whole time. furthermore opening the camera for in-chat pics or status updates locks the phone up until the app crashes. we don't need more features, we need the current feature set fail and foolproof",3
com.whatsapp,Lutfi Ice,"A simple and lightweight chat app. You can send images with reduced size or original size as you like, and almost any file with ease. The main concerns are: 1. Somehow I can't reply any status at all with newer versions. The reply box and enter button isn't shown by swiping up, is it a bug on tablet devices? 2. Please increase maximum pinned chats/groups. 3 is not enough. 3. Somehow there are random business accounts those chatted me for unknown reasons and unrelated to me. Is it a bot spam?",3
com.whatsapp,Ravshan Khudoyberdiev,"It is a terrible app. When you will have to switch from Android to iOS or vice verca you will understand what I mean. It will be impossible to move chats across and you will have to pay $30 to some weird software for this. Telegram doesn't have such problem since it is cloud based. Secondly, they limit account to 1 device when I have 4 phones that I use all the time. On Telegram you can add as many devices as you want.",1
com.whatsapp,David Raju,"I had a very good experience of using this application, and it's so useful for the person to have a conversation with the person who is far from us. just one suggestion you must add up the music in the story uploading so the people who wants to add music with photo or a video can be possible eaasily. Must do this change and update it soon, people will so happy to use it. Thank you very much.As a user of whatsapp , I have seen one of the new features I.e. poll selection. This feature is not so us",5
com.whatsapp,Penelope Sampson,"Nice app but unfortunately when I reinstalled the app due to a problem it was having, all the photos downloaded from WhatsApp to my phone gallery were erased, over 2000 photos and memories lost. I didnt have it backed up but I thought if photos were saved to my phone that meant they were saved. Apparently WhatsApp has the ability to erase photos from your phones photo gallery. This seems like a massive oversight in the way the app works, it should only be able to add photos to your phone.",1
