Package name,Reviewer name,Review,Rating
org.thoughtcrime.securesms,Julie Kim,"I love the fact that this message app is much more flexible. For example, without having to have certain phones, emojis are available to use for all. Another example is that I can delete messages if I didn't express properly or found typos. I just wish an editing feature was available instead of having to delete the entire message for whatever reason. Overall, this is my preferred method of communication next to Telegram app where all things I appreciate are available.",4
org.thoughtcrime.securesms,Shonda Campbell,"The main reason I downloaded this is to have more security, privacy, & break away from everything Meta! I like the simplicity of the app. I do wish that we had more color options for the chat bubbles. It would be nice to have a darker chat bubble option, especially in the spectrum. For someone who has a light sensitivity, darkness is my friend. So maybe perhaps on the next update you guys could give us a more robust color option. Other than that it's wonderful! The ability to edit would be nice!",3
org.thoughtcrime.securesms,Heather Stevens,Signal's decision to discontinue SMS support is upsetting. I will not juggle multiple messaging apps. I refuse. I cannot convince my entire contact list to change to signal. I LOVE this app as is and cannot justify multiple messaging apps. I dont even use multiple social media platforms. I'm genuinely sad this is happening. I love as much privacy as I can get but unfortunately convenience and ease of use is extremely important. Signal met all of the criteria until now. Disappointed.,1
org.thoughtcrime.securesms,Peter Stead,"I have really liked signal so far. I switch from WhatsApp because of their changing privacy conditions. Signal is much more private. The quality of the app isn't much different from WhatsApp. The only reason I'm not giving it 5 stars is because I have downloaded pictures from signal to my phone a few times and the only way to do it is 1 at time. It's really frustrating that you can't just select multiple pictures to download. Also, video quality is poor when you video call someone.",4
org.thoughtcrime.securesms,Paul H.,"One of the best video messaging apps I have seen, and I have tested a lot of them - both as a professional Product / Project Manager and for my own personal 'gaming' interests. This is very nearly the perfect solution for every use case, and that is saying a lot. Increadibly flexible set of features and controls. I don't give many 5 star ratings, because there is always room for improvement- but this one is very near perfect.",5
org.thoughtcrime.securesms,Kirk Degler,"I like that I can send end-to-end encrypted messages, but I don't appreciate the somewhat recent decision regarding SMS . I understand the logic, but I disagree. I would rather Signal have made UI changes to *really* flag/highlight conversations that are not encrypted. It's hard enough to sell X to people when they are used to Y. I also am not a fan of the decision to add stories to the application. Let's not make the app bloated and potentially increase the attack surface.",3
org.thoughtcrime.securesms,Andrew Mann,"Biggest feature is encryption. But the rest of the app works better than all other messaging apps. Edit: Starting nov. 22, 2022, signal keeps crashing and stopped working. I restored from backup twice. First time it started working then crashed again after 2 days. Second time, it crashed as soon as i restored. Both times, it crashed while making a new backup. I'm still giving 5 stars, but just letting everyone know, if your backup is more than 6GB, this might happen.",5
org.thoughtcrime.securesms,Jonathan Morford,"Bummed about the removal of SMS and addition of stories. To me, Signal is a communication app, not a social network. I do not intend to use stories and have turned them off. Conversely, I have contacts leaving Signal because they depended on the SMS integration to not have to figure out which app to message a contact with. The issues mentioned on the blog could have been resolved with better UI. As a techie, I do understand the challenges, but feel this change will ultimately hurt Signal.",4
org.thoughtcrime.securesms,Loki Hondorf,"Amazing app, has allowed me to bring several friends that aren't as concerned with privacy into a secure environment. However with the recent decision to drop sms, most of those friends will certainly be dropping the app and I may as well. The usp of signal used to be a single messaging app where e2e encryption is avalible cross platform. The app serves little to no purpose if I only have 1 or 2 contacts on it as there are plenty of channels where this protected communication can happen. Sorry",1
org.thoughtcrime.securesms,Jonathan Love,Please add scheduled messages and editing messages. Format of wallpaper needs some adjustments after you've selected a picture is zooms in and looks of bad quality. Great app and better alternative to WhatsApp and Google Chat. So far the features are pretty standard. You can send decent quality video/photos. No 4k HDR like iPhone but it's a step in the right direction. Please donate!!! No this isn't sponsored 🤘🏾,5
org.thoughtcrime.securesms,Zachary Hendershot,"The decision to drop SMS support is absolutely unacceptable, especially given the decision to add stories. You've replaced a feature that I used every day with one that I will never use. I don't buy for a second that it was to focus on encrypted messaging, you added useless garbage. Yes, I realize that my SMS conversations were not encrypted, but it was beyond convenient to have everything in one application. Formerly five stars, it was a good run.",1
org.thoughtcrime.securesms,Aaron Firouz,"Signal is pretty great both as a standard messaging/chat app and as a secure communications tool. I've had mixed success trying to get folks off iMessage or SMS, but those that have switched have been happy with the experience. That said, recent decisions like adding payments and ""Stories"" are a little concerning. I'm sure both can be done while respecting privacy and they are intended to increase appeal, but they feel like bloat and a bad direction for the app.",4
org.thoughtcrime.securesms,Devon Parker,"This messenger is decent. However you cannot edit messages, and they just took away the ability to delete an image a while after it's been sent. Now in order for messages to disappear you have to set up an automatic timer and you cannot delete images you've sent manually after a few hours. This decision doesn't make any sense. Normally I'd probably give the app a solid 4 stars, but until this ability that already existed is restored I can't recommend it.",1
org.thoughtcrime.securesms,Paul Metzgar,"This app was a great all in 1 app. I could text, video chat, and send photos to family and friends from around the world whether they had Signal or not. Sadly, the company has foolishly decided to remove its unencrypted messaging service. I cannot have an app on my phone that will not accept unencrypted messages. Google, Microsoft, and other companies that send verification messages will not get through under the new update. I will be replacing this app as soon as I find an adequate replacement",1
org.thoughtcrime.securesms,Abhijeet Malik,"Privacy first class. Security first class. Backup / restore ability third class. Especially for cases when you need to switch phones or just loose / damage your phone, you don't have any solution. I understand the background of privacy and security to ensure the data is not hacked / exploited. But there should be some ability to configure profile, so if you chose a less secure profile, you are able to backup messages etc. On cloud and restore it late. Different users have different requirements.",3
org.thoughtcrime.securesms,Deatria Cameron,"I like Signal. It's intuitive to use. I'd give it five stars if it had better integration of notes to self, one tap button record (The slide feature is awkward and not precise), and if the developers shifted phone number sign in to regular account sign in, to easily log into your personal account on any device including any phone numbers.... It's just super silly to have issues accessing one's account on another phone. They do need to make proper improvements, and this app could get five stars.",3
org.thoughtcrime.securesms,Aurora M,Having only one app to receive all text messages was golden. Signal should recognize when the app is not installed and allow users to deactivate and unlink with the phone. Previous Signal users that no longer have the app do not receive any text messages. It's very frustrating. This new change to not receive sms texts only force me to use a second app. Ads are a nuisance.,3
org.thoughtcrime.securesms,Freya Black,"It was nice to use to start off with, but as time goes on, it's getting worse. Messages won't send at random. Can't message people that don't use signal, especially if it is set as my default texting app. I like some of the features, but it's a messaging app. If it won't send simple texts, there is no point in using it. Edit: still doing it. I'm so done with this app",1
org.thoughtcrime.securesms,G A,"Fantastic tool, sort of... My concern was when I moved from one phone to another,but that proves to be a moot point. The tool to transfer works great! No msgs lost, pictures were even moved. Love it. Great job! However, not being able to send/recieve from other SMS app, usefulness significantly drops. I have to have another app to send messages to people who don't use Signal. I understand your decision, but I regret you made that choice.",3
org.thoughtcrime.securesms,Rudy Messex,"As signal operates today, it is useful and easy. After the sms capability goes away I have no intention of trying to keep track of who has signal and who doesn't. Today, I have a single platform that encrypts when it can but still functions when it can't. I've donated to the project because it was great. But we all have to deal with contacts that will never switch to Signal and I'm too busy to check if someone is on signal when I have to send a message. Sorry to see this change.",4
org.thoughtcrime.securesms,Morgan Montgomery,"This was my default messaging app for the last couple years, and it worked great! However with Signal ending SMS service it just doesn't make sense to use it anymore. I just don't have enough Signal-using contacts to make multiple messaging apps worth it. I have many contacts who would not be willing to move (and it's a harder sell now than it was before), and I won't be able to receive automated messages anymore either. I'd gladly come back if SMS service was restored but for now it's goodbye.",1
org.thoughtcrime.securesms,Andrea Waagen,"I thought I had finally found the perfect app! And for over 3 years it was amazing. Now I am forced to go find a new SMS app to be able to message anyone WITHOUT Signal. I can't get notifications from UPS/FedEx etc. I can't text my 80yo mother. I will probably just delete the whole app. I loved it!! But I hate the inconvenience of having multiple apps to do 1 simple thing. Shame on you, Signal!!",1
org.thoughtcrime.securesms,Patrick Gray,"It's great software, but the removal (WHY?) of SMS text message support is a huge step backward for Signal. Now, instead of managing all my messages in one convenient location, I have to juggle two apps - one for the 10% of my contacts who value privacy, and another for the remaining 90% of the world who either don't care, or who use something other than Signal. What a bone-headed move. Cutting off SMS only means that Signal users will fall back to whatever app supports the most contacts.",2
org.thoughtcrime.securesms,Michael Forseth,Great app until they took away my favorite feature. They announced they are removing SMS. I really liked having a secure messaging system and SMS available within a single app. I was able to keep all my conversations in one place. It was great when I had a friend or family who refused to get signal. I don't really plan on using signal anymore without this feature.,2
org.thoughtcrime.securesms,Tiny Tiger,"I have loved this app for years. BUT the fact that they are discontinuing SMS services instead of putting it in a separate tab or having it be a paid service is a real shame. On another note it has me putting in my pin constantly, not just when it asks you to verify every once in a while. It's every time my phone restarted and then for what seems like no reason at all sometimes. So it ends up coming up multiple times throughout the day, and then it's multiple times of putting my pin in.",1
org.thoughtcrime.securesms,X X,"Revert back to the old view, where each person's circle is it's own solid color, and THEIR TEXT, NOT MINE, is highlighted in that color. We should at least have the option to configure this ourselves if you insist on forcing a design overhaul on everyone. Now you're configuring the app such that I cannot communicate via signal with people who don't have signal? Three goes the one of the main advantages of this app. Great move!",1
org.thoughtcrime.securesms,Euclid Megara,"Noooo! You can't remove SMS support! The thing that makes this app so great is that all my texts appear in one place! When I convince friends to join Signal it's seamless! About 70% of my messages are encrypted, in part because it's so easy to bring people over! If you take away the SMS then the quiet integration of encryption is lost. That's a big loss!",4
org.thoughtcrime.securesms,Jessica Duncan,I've used signal for a couple of years and never had an issue until recently. The app froze and would not function even after reinstalling. Lost all messages because the backup function would not work due to freezing. I've been forced to return to the factory installed messaging app. Will give it a try another time when the issues are resolved. I've noticed many have experienced similar issues around the same time - last Sept to early Oct.,3
org.thoughtcrime.securesms,AAA LLL,"This was a fantastic app until the decision to remove SMS support. The unified SMS and encrypted message experience was FANTASTIC for managing messages and helped convert many people in my circle to using it. No one (myself included) is going to deal with multiple text messaging apps. What a terrible user experience. Signal has been great historically, but it's time to move on to something else.",1
org.thoughtcrime.securesms,kea charmak,"I really appreciate this app and all the flexibility it offers. The one thing I'm really missing from it is the ability to pin a couple of posts to the top in a group. I want to be able to pin a calendar, a meditation and directions to different events throughout the month. Whatever's most current for whatever we are up to. I get tired of scrolling through trying to find things. ALSO...After being added to a group I'd really like to be able to see the old posts. Thanks!!!!!",3
org.thoughtcrime.securesms,Kelsey Marie,"UPDATE: Dropping sms messages makes this app obsolete for me. Mostly was going okay but recently it crashes or won't open often. If i leave it open and go to another window it won't let me come back to it, and forces all my windows to close when it crashes. Makes it a frustrating app to use. Edit: Recent updates have really improved performance. Using it regularly now with very little issues.",1
org.thoughtcrime.securesms,Brandon Ragland,"Works well and I can trust that the communication is secure. No one can protect you if the other party gives up messages or had backups on even though you're using time-out conversations. So in those cases it's best to know exactly who you're talking to and can be certain they can be trusted. As far as the computer IT security, Signal is safe and secure. As a software engineer, I trust this app far far more than other popular apps claiming to do the same. This app ""just works"" and works well!",5
org.thoughtcrime.securesms,Jimmy M,"Started off well enough. Thumbs up for privacy. BUT, aside from dropping SMS (which is NOT GOOD!) it doesn't work AT ALL when sending/receiving messages, even with another Signal user when separated by less than a quarter mile. Might be my carrier, but it is really annoying, especially when it's a very important message.",1
org.thoughtcrime.securesms,Steve Buttner,Think this app is great. Never gives me any trouble. Love the fact of the warrent proof end to end increption . Highly recommend it. Haven't used the video of voice yet so can't say about that feature. Takes your wallpaper. Multiple caller notification tones for each of your contacts. Can't think of anything I'm unhappy with. Of course like any app you must become familiar with it to be fluid with it. I'm happy with it which I can't say about a lot of my apps. Get it. Privacy is becoming lost.,5
org.thoughtcrime.securesms,A,"Excellent app lots of useful features. I am very disappointed to see SMS support discontinued. Although many of my contacts have Signal, many do not. The convenience of having a ""one stop shop"" for all of my messaging needs was fantastic. Unfortunately I think this decision will be very detrimental to the future of the Signal project. Granted SMS is inherently an unsecure protocol, most users are aware of this and will ensure sensitive communications are to a recipient with the app.",5
org.thoughtcrime.securesms,Mari Schneider,A great app that can be used as a drop-in replacement for most other apps. It offers great security when messaging someone else with the app and falls back to unsecure messages when the recipient doesn't use the app. Edit: Signal will no longer support SMS messages. Basically you can *only* talk to other people on Signal. I will unfortunately have to uninstall Signal and find a new texting app.,1
org.thoughtcrime.securesms,James Studer,"I really liked this application's ability to send secure text messages. However they recently decided to block SMS messages since they weren't secure. I will probably have to go back to the standard message app because I have to be able to communicate with a lot of my friends. Signal should just highlight the non-secure messages with a different color, like pink or something, to let the user know that say non-secure connection but Banning all SMS messages is a bit draconian.",3
org.thoughtcrime.securesms,Jilly Bear P,"Unfortunately since SMS messaging will no longer be supported, I really won't be using it. As another reviewer stated, it is difficult to get other contacts to sign on to using a new messaging app. I was already frustrated trying to send short videos to non-users & getting ""message failed"" notifications. I had to switch to my old app to send videos in those instances which was a pain.",1
org.thoughtcrime.securesms,Firmino Martinez,"I was a little surprised by how easy the transition was in using this app, from the basic SMS app. I do wish I could import my conversation history, but that really only matters to me for the first few weeks, so I only had to switch to see what we were talking about earlier. After using this app for a couple weeks, I definitely recommend it. EDIT: the moment SMS support is discontinued, I'm uninstalling the app. It has little value without it, and I hate that I have to search again.",5
org.thoughtcrime.securesms,Nathan Harold,"The best modern messaging app. It's simple, clean, inituitive, and above all, actually private. Side note I recently had to transfer to a new phone and the process was both simple and fast. My other fifty-plus apps could learn a thing or two about backup and restore from Signal.",5
org.thoughtcrime.securesms,Carl R,"Edit: removed SMS, so dropped rating to 2 stars. Probably the best and most secure texting app out there. Telegram has had breaches and WhatsApp is owned by Facebook (hard no). Now with the new updates they've been putting out the last year or so, this has become not just the most secure, but the best texting app on the market! It's got everything you need, can do phone calls, can answer texts on your computer, can make groups or schedule when to have messages deleted!",2
org.thoughtcrime.securesms,Larry “Brad” Prager,"Love it! Best messaging app I've ever found. 3/22 < Sadly, my opinion in the previous sentence is no longer true. Because Signal no longer supports SMS messaging I am forced to find an alternative messenger, again. I can understand the concept of wanting to make the continuing development of your app and easier process for yourself, I can also understand the concept of bringing about change, which you have to some extentl. But let's face facts. The MAJORITY, continue to support SMS messaging.",3
org.thoughtcrime.securesms,Timothy Eccleston,"This was a great app until they killed their killer feature, which was letting (Android) users send SMS in the same app, which made it so much easier to track normal conversations. Now I've been driven out to look for SMS apps and found ones with better UI. I care about encryption so I don't want Signal to tank, but I wouldn't be surprised if this does it. :( I've already gone from promoting and donating to this app to neither, but that would change if they brought SMS back.",2
org.thoughtcrime.securesms,robvc7,"Removing SMS support is why this app gets one star. I love the security of Signals end to end encryption. But not everyone I talk to is interested in downloading a separate app. That's what made Signal so awesome. I could have the secure conversations with some and keep texting with everyone else all in one convenient app. With that going away, Signal is no longer convenient for me or anyone else I know. And since I refuse to use two different messaging apps, Signal will have to be uninstalled.",1
org.thoughtcrime.securesms,shepherdgroup. biz,Stories. Bad idea. Don't need the garbage. And now it's crashed. Top marks for doing what they are doing. Not sure anyone would tell Signal if they've broken the codes but presumably there are plenty of independants out there that would love the publicity. The most important part for me is the privacy and efficient data use. Not worried about stickers etc but I'm sure many people are. As long as things aren't there by default and we always have the ability to remove features we don't use...,4
org.thoughtcrime.securesms,Chuck Anderson,"I mostly like the app, but I have two issues: 1. Why is SMS support being removed? 2. The way notifications work for group texts. There needs to be a way to mute notifications after the first time someone sends a group message, either for a time period or until the message is read. Otherwise there is a flurry of notifications when other people in the group are having an ongoing conversation while you may be busy and unable to read/reply. A total group mute isn't ideal.",4
org.thoughtcrime.securesms,Trevor Wunn,"Signal was perfect until they removed sms support. I was using it as my default messaging app, but I can no longer do that. It's extremely disappointing they've chosen not to continue with the support. I literally cannot convince everyone I know to switch to signal, a big selling point was to have it replace your main messaging app and they've gotten rid of that. Unfortunately, I'm going to remove it as go back to messages.",2
org.thoughtcrime.securesms,Panda Greenwell,"Went from being my favorite to most of my friends who used it uninstalling it after they stopped sending to SMS. Now, it won't open, just sits at the load up screen, and if I send a picture or something directly, it takes more than one try for it actually to go through. And who cares about the ""story"" function? This is FB messenger.",1
