Package name,Reviewer name,Review,Rating
com.p1.chompsms,David Karr,"I've been using chomp on my Galaxy note 9 for quite a while. I have custom sound notifications set at the top level, and for several specific numbers. As of a couple of weeks ago, the sounds stopped working. Curiously, the same thing happened with Whatsapp at the same time. However, the Samsung messages app works fine. In both the chomp and whatsapp settings, I can verify what sound I have configured and hear it, but when a message arrives, it only vibrates. I have tried rebooting.",4
com.p1.chompsms,Jill Cowan,"I have been using this app for years, like since the beginning and have loved it and never wanted anything else. When the Android 13 update rolled out, it really messed up this app. My phone no longer lights up when I get a text, which is a real problem. I depend on that setting. This app needs a serious update to catch up to Android 13! Please fix ASAP!!! My phone is lagging and half the time the app freezes and I can't even open it!",4
com.p1.chompsms,Stephanie J,"I absolutely love this app. Very easy to use and does so much more then the basic sms app on my phone. I love the delayed send option, it's great for reminders to friends. I have to say I used the free version for about 2 hours and then purchased the paid version. Not because of ads or anything like that, instead, I wanted to support a great product and this is a great product Edit 11/28/22 I've been using chomp for two years now and I still love it.",5
com.p1.chompsms,Mike R,"The option to change the notification sound needs to be more easily accessible. It's pretty tucked away and kind of hard to find. The same with changing the fonts. The app scans for fonts and shows you what applications there are, but to actually change it means you got to go into the conversation view scroll down to outgoing messages and then see the fonts there. If the option to scan for font is easily to find, then the option to change them should just be included right there.",3
com.p1.chompsms,Virginia Mayberry,"I've been using Chomp for several years and I love it. However, I'm starting to get mass spam texts that have multiple other phone numbers attached to it, and there is no option to add the original sender to the block list. If you were able to add the block list to the menu, after long pressing the contact info from the chat bubble, it would be super!",4
com.p1.chompsms,Kayla W.,"An amazing SMS app. The options to customize the aesthetic elements are simple yet thorough, and the ads are completely non-invasive. Literally my only gripe is that the message notifications take up half the screen, but it's an incredibly small price to pay. Speaking of small prices, the one time payment for ad-free experience + extra themes is literally $5 plus tax. Totally affordable if you ever have any extra spending money, and yet not necessary to improve your experience! I love this app!!",5
com.p1.chompsms,Derik Arendall,"Only issue I've really encountered that I can think of is sometimes the text notification block doesn't go away after opening it, and will need swiping away in the phones notifications list before it really goes away. Aside from that, it's a great app with a great breadth of customization options perfect for anyone that wants to play with different aesthetics to their texting UI",4
com.p1.chompsms,R honda D,"I love the features but for some reason or another my messages are not being sent or received at times. Then all of a sudden I get them all at once. This just started happening about 2 weeks ago. Any suggestions. Other than this hiccup, this app is amazing! Update: per chomp, this is as a Samsung update issue. Reset network settings under general management.",5
com.p1.chompsms,Melissa Gurney,Been using about a year and it was easy to set up and pretty intuitive except for being able to voice text haven't been able to figure out. Another bummer is you can't send videos. I've tried sending 3 second videos get an error message doesn't support. Other than that great app!,5
com.p1.chompsms,KENNETH MCGHEE,"I have used chomp on a daily basis for the last 5 years and I find it to be much more feature rich than the messenger apps preinstalled on my Samsung and iphone. Besides Chomp having more customization, the ability to schedule text for delivery the followng day is a game changer for me (are you listening Apple). Also I love how easy it is to backup & restore previous messages.",5
