Package name,Reviewer name,Review,Rating
xyz.klinker.messenger,Mitchell Sommer,"The only reason I used this app is because of its ability to schedule messages, but it didn't come without a cost. There were multiple instances, in group texts and in texts with individuals, where it would show that a message went through from my end when it actually didn't. I just switched back to my default messaging app, and right when I did that, everyone got a total of around 100 texts that never went through. I have a Galaxy A52, if that provides some context.",2
xyz.klinker.messenger,craig sonis,"Been using this for the past year. It's excellent in all aspects except for one thing that I can't seem to find a solution. When sending a photo I often want to save data, so I just want to send a reduced photo size (MB to k). The only want to do this is (I think) is to attach the photo picking from a secondary Photo App on my phone which will attach the reduced photo size. Fix that for 5 stars as I use this all the time.",4
xyz.klinker.messenger,badger codes,"pulse is okay. it's a paid version of qksms or textra, but without any additional features to warrant the subscription fee. pulse gets the job done in that it sends and receives messages, but there's no real development or premium features that i have noticed. if one were to set their dns to block ads system-wide, and then go with a free, reputable messaging app, the experience would be identical.",3
xyz.klinker.messenger,arnold r,"I've had Pulse SMS (free) for a few years and it served me well. Recently switch phones to a Pixel 6A. I was able to copy over the app (and text messages) w/o a hitch. However, it keeps asking me for the Paid version trial, and can't get past that pop-up screen. I had to switch messaging app because of this.",3
xyz.klinker.messenger,Alison Milne,Been using Pulse for years and was happy with it. Until today. I got a new phone and had problems transferring data. I download the app thinking it's the same old app. These POS's let you download the app then immediately want you signed up for their monthly or yearly plan. No option to stay on the free app. They can FO to the nth degree.,1
xyz.klinker.messenger,Mark Young,"Used to be a good app to sync between phone and PC, I can no longer sync with my PC or send messages from there. I've contacted support and followed all directions with no improvement. Going to use Google Messages from now on, it's free and I wasted money on a lifetime subscription to Pulse. I would have given 5 stars if it still worked.",1
xyz.klinker.messenger,BC,"Edit: originally gave it a one-star rating. Leaving a one-star rating. Even after getting the subscription issue straightened out. This app will not send an MMS message or picture message. It doesn't matter if I try to send it from my phone over wi-fi, or data, from my Wi-Fi tablet, or through my browser on the computer. It shows the messages are being sent, but the recipient never receives them. If I open a new texting app, it shows all MMS messages were not sent. Inexcusable for a paid app!",1
xyz.klinker.messenger,Andrew “Andy” Doll,"This app is great! Saves your message history in case you lose or break your phone. Can text from anywhere, including your PC! Edit: Down two stars. With my S22 Ultra I can no longer send MMS or Pictures to anyone with an iPhone. I have changed APN Settings, Network settings and so much more with no luck. Going to have to find a better app until this gets fixed. No tutorial has worked to fix this issue.",3
xyz.klinker.messenger,Igor Steel,"Original developer sold the app. Since then, I've been unable to sync, and support hasn't helped at all. They've repeatedly sent me the same (useless) instructions apparently without looking at notes from the last support rep. They've repeatedly delayed responding for weeks at a time, and they have completely failed to help. If I could, I'd ask for my money back. This app no longer works as advertised, and support seems to be helpless. Update: Contacted them again, but no answer...",1
xyz.klinker.messenger,mAtom “Ash” West,"I love the Pulse app and want to give it 5 stars but there are issues that prevent that. Pros: I L♡VE being able to name group threads, set custom tones and the backup. (Paid version.) Cons: Randomly it will send any photos that didn't go through originally all at once and they don't show on my end. My husband (paid account, same service, better phone) randomly can't send gifs, while I can. The ""solutions"" are ridiculous and don't prevent reoccurrances. Unistall/ reinstall, etc... 🤦🏼‍♀️",3
xyz.klinker.messenger,Christian Valerio,"My phone randomly started sending old photos and text to people I don't even talk to anymore. I received about 20 messages from different people saying that I sent them texts/photos without any context. The worst part is I can't see anything that I sent, I only get their responses. So in reality, more text were sent out, but only a small amount of people responded back. It took some time to realize that these were all old text they re-received. Insane! I will no longer be using this app.",1
