,Package name,Reviewer name,Review,Rating
0,org.thoughtcrime.securesms,Julie Kim,love fact message app much flexible example without certain phone emoji available use another example delete message do not express properly find typo wish editing feature available instead delete entire message whatever reason overall preferred method communication next telegram app thing appreciate available,4
1,org.thoughtcrime.securesms,Shonda Campbell,main reason download security privacy break away everything meta like simplicity app wish color option chat bubble would nice dark chat bubble option especially spectrum someone light sensitivity darkness friend maybe perhaps next update guy could give we robust color option wonderful ability edit would nice,3
2,org.thoughtcrime.securesms,Heather Stevens,signal decision discontinue sm support upsetting juggle multiple messaging app refuse can not convince entire contact list change signal love app can not justify multiple messaging app do not even use multiple social medium platform I m genuinely sad happen love much privacy get unfortunately convenience ease use extremely important signal meet criterion disappoint,1
3,org.thoughtcrime.securesms,Peter Stead,really like signal far switch whatsapp change privacy condition signal much private quality app be not much different whatsapp reason I m give five star download picture signal phone times way one time really frustrating can not select multiple picture download also video quality poor video call someone,4
4,org.thoughtcrime.securesms,Paul H.,one good video messaging app see test lot professional product project manager personal gaming interest nearly perfect solution every use case say lot increadibly flexible set feature control do not give many five star rating always room improvement one near perfect,5
5,org.thoughtcrime.securesms,Kirk Degler,like send endtoend encrypt message do not appreciate somewhat recent decision regard sm understand logic disagree would rather signal make ui change really flaghighlight conversation encrypt hard enough sell x people use also fan decision add story application let make app bloated potentially increase attack surface,3
6,org.thoughtcrime.securesms,Andrew Mann,big feature encryption rest app work well message app edit start nov twenty - two two0twenty - two signal keep crash stop work restore backup twice first time start work crash two day second time crash soon restore time crash make new backup I m still give five star let everyone know backup sixgb might happen,5
7,org.thoughtcrime.securesms,Jonathan Morford,bummed removal sm addition story signal communication app social network intend use story turn conversely contact leave signal depend sm integration figure app message contact issue mention blog could resolve well ui techie understand challenge feel change ultimately hurt signal,4
8,org.thoughtcrime.securesms,Loki Hondorf,amazing app allow bring several friend be not concerned privacy secure environment however recent decision drop sm friend certainly drop app may well usp signal use single message app etwoe encryption avalible cross platform app serve little purpose one two contact plenty channel protect communication happen sorry,1
9,org.thoughtcrime.securesms,Jonathan Love,please add scheduled message edit message format wallpaper need adjustment you ve select picture zoom look bad quality great app well alternative whatsapp google chat far feature pretty standard send decent quality videophoto fourk hdr like iphone step right direction please donate be not sponsor,5
10,org.thoughtcrime.securesms,Zachary Hendershot,decision drop sms support absolutely unacceptable especially give decision add story you ve replace feature use every day one never use do not buy second focus encrypt message add useless garbage yes realize sm conversation encrypt beyond convenient everything one application formerly five star good run,1
11,org.thoughtcrime.securesms,Aaron Firouz,signal pretty great standard messagingchat app secure communication tool I ve mixed success try get folk imessage sm switch happy experience say recent decision like add payment story little concern I m sure do respect privacy intend increase appeal feel like bloat bad direction app,4
12,org.thoughtcrime.securesms,Devon Parker,messenger decent however can not edit message take away ability delete image send order message disappear set automatic timer can not delete image you ve send manually hour decision do not make sense normally I d probably give app solid four star ability already exist restore can not recommend,1
13,org.thoughtcrime.securesms,Paul Metzgar,app great one app could text video chat send photo family friend around world whether signal sadly company foolishly decide remove unencrypted message service can not app phone accept unencrypted message google microsoft company send verification message get new update replace app soon find adequate replacement,1
14,org.thoughtcrime.securesms,Abhijeet Malik,privacy first class security first class backup restore ability third class especially case need switch phone loose damage phone do not solution understand background privacy security ensure datum hack exploit ability configure profile choose less secure profile able backup message etc cloud restore late different user different requirement,3
15,org.thoughtcrime.securesms,Deatria Cameron,like signal intuitive use I d give five star well integration note self one tap button record slide feature awkward precise developer shift phone number sign regular account sign easily log personal account device include phone number super silly issue access one account another phone need make proper improvement app could get five star,3
16,org.thoughtcrime.securesms,Aurora M,one app receive text message golden signal recognize app instal allow user deactivate unlink phone previous signal user long app receive text message frustrating new change receive sm texts force use second app ad nuisance,3
17,org.thoughtcrime.securesms,Freya Black,nice use start time go get bad message will not send random can not message people do not use signal especially set default texting app like feature message app will not send simple text point use edit still I m do app,1
18,org.thoughtcrime.securesms,G A,fantastic tool sort concern move one phone anotherbut prove moot point tool transfer work great msg lose picture even move love great job however able sendrecieve sms app usefulness significantly drop another app send message people do not use signal understand decision regret make choice,3
19,org.thoughtcrime.securesms,Rudy Messex,signal operate today useful easy sm capability go away intention try keep track signal do not today single platform encrypt still function can not I ve donate project great deal contact never switch signal I m busy check someone signal send message sorry see change,4
20,org.thoughtcrime.securesms,Morgan Montgomery,default message app last couple year work great however signal end sms service do not make sense use anymore do not enough signaluse contact make multiple messaging app worth many contact would willing move hard sell will not able receive automated message anymore either I d gladly come back sms service restore goodbye,1
21,org.thoughtcrime.securesms,Andrea Waagen,think finally find perfect app three year amazing force go find new sm app able message anyone without signal can not get notification upsfedex etc can not text eightyyo mother probably delete whole app love hate inconvenience multiple app one simple thing shame signal,1
22,org.thoughtcrime.securesms,Patrick Gray,great software removal sm text message support huge step backward signal instead manage message one convenient location juggle two app one ten contact value privacy another remain ninety world either do not care use something signal boneheade move cut sms mean signal user fall back whatever app support contact,2
23,org.thoughtcrime.securesms,Michael Forseth,great app take away favorite feature announce remove sm really like secure message system sm available within single app able keep conversation one place great friend family refuse get signal do not really plan use signal anymore without feature,2
24,org.thoughtcrime.securesms,Tiny Tiger,love app year fact discontinue sm service instead put separate tab pay service real shame another note put pin constantly ask verify every every time phone restart seem like reason sometimes end come multiple time throughout day multiple time put pin,1
25,org.thoughtcrime.securesms,X X,revert back old view person circle solid color text mine highlight color least option configure insist force design overhaul everyone you re configure app can not communicate via signal people do not signal three go one main advantage app great move,1
26,org.thoughtcrime.securesms,Euclid Megara,noooo can not remove sm support thing make app great text appear one place convince friend join signal seamless seventy message encrypt part easy bring people take away sm quiet integration encryption lose that s big loss,4
27,org.thoughtcrime.securesms,Jessica Duncan,I ve use signal couple year never issue recently app froze would function even reinstall lose message backup function would work due freezing I ve force return factory instal message app give try another time issue resolve I ve notice many experience similar issue around time last sept early oct,3
28,org.thoughtcrime.securesms,AAA LLL,fantastic app decision remove sm support unified sm encrypt message experience fantastic managing message help convert many people circle use one include go deal multiple text message app terrible user experience signal great historically time move something else,1
29,org.thoughtcrime.securesms,kea charmak,really appreciate app flexibility offer one thing I m really miss ability pin couple post top group want able pin calendar meditation direction different event throughout month whatever current whatever get tired scrolling try find thing alsoafter add group i d really like able see old post thank,3
30,org.thoughtcrime.securesms,Kelsey Marie,update drop sm message make app obsolete mostly go okay recently crash will not open often leave open go another window will not let come back force window close crash make frustrating app use edit recent update really improve performance use regularly little issue,1
31,org.thoughtcrime.securesms,Brandon Ragland,work well trust communication secure one protect party give message backup even though you re use timeout conversation case well know exactly you re talk certain trust far computer security signal safe secure software engineer trust app far far popular app claim app work work well,5
32,org.thoughtcrime.securesms,Jimmy M,start well enough thumb privacy aside drop sm good do not work sendingreceive message even another signal user separate less quarter mile might carrier really annoy especially important message,1
33,org.thoughtcrime.securesms,Steve Buttner,think app great never give trouble love fact warrent proof end end increption highly recommend have not use video voice yet can not say feature take wallpaper multiple caller notification tone contact can not think anything I m unhappy course like app must become familiar fluid I m happy can not say lot app get privacy become lose,5
34,org.thoughtcrime.securesms,A,excellent app lot useful feature disappoint see sm support discontinue although many contact signal many convenience one stop shop messaging need fantastic unfortunately think decision detrimental future signal project grant sm inherently unsecure protocol user aware ensure sensitive communication recipient app,5
35,org.thoughtcrime.securesms,Mari Schneider,great app use dropin replacement app offer great security message someone else app fall back unsecure message recipient do not use app edit signal long support sm message basically talk people signal unfortunately uninstall signal find new texting app,1
36,org.thoughtcrime.securesms,James Studer,really like application ability send secure text message however recently decide block sm message since be not secure probably go back standard message app able communicate lot friend signal highlight nonsecure message different color like pink something let user know say nonsecure connection ban sm message bit draconian,3
37,org.thoughtcrime.securesms,Jilly Bear P,unfortunately since sm message long support really will not use another reviewer state difficult get contact sign use new messaging app already frustrate try send short video nonuser get message fail notification switch old app send video instance pain,1
38,org.thoughtcrime.securesms,Firmino Martinez,little surprised easy transition use app basic sm app wish could import conversation history really matter first week switch see talk early use app couple week definitely recommend edit moment sm support discontinue I m uninstalle app little value without hate search,5
39,org.thoughtcrime.securesms,Nathan Harold,good modern message app simple clean inituitive actually private side note recently transfer new phone process simple fast fiftyplus app could learn thing two backup restore signal,5
40,org.thoughtcrime.securesms,Carl R,edit remove sm drop rate two star probably well secure texte app telegram breach whatsapp own facebook hard new update they ve put last year become secure good texte app market get everything need phone call answer text computer make group schedule message delete,2
41,org.thoughtcrime.securesms,Larry “Brad” Prager,love well message app I ve ever find three hundred twenty - two sadly opinion previous sentence long true signal long support sm message force find alternative messenger understand concept want make continue development app easy process also understand concept bring change extentl let face fact majority continue support sm message,3
