,Package name,Reviewer name,Review,Rating
0,xyz.klinker.messenger,Mitchell Sommer,reason use app ability schedule message do not come without cost multiple instance group text text individual would show message go end actually do not switch back default message app right everyone get total around one hundred text never go galaxy afifty - two provide context,2
1,xyz.klinker.messenger,craig sonis,use past year excellent aspect except one thing can not seem find solution send photo often want save datum want send reduce photo size mb k want think attach photo pick secondary photo app phone attach reduce photo size fix five star use time,4
2,xyz.klinker.messenger,badger codes,pulse okay pay version qksm textra without additional feature warrant subscription fee pulse get job do send receive message there s real development premium feature notice one set dns block ad systemwide go free reputable message app experience would identical,3
3,xyz.klinker.messenger,arnold r,I ve pulse sm free year serve well recently switch phone pixel sixa able copy app text message will hitch however keep ask pay version trial can not get past popup screen switch message app,3
4,xyz.klinker.messenger,Alison Milne,use pulse year happy today get new phone problem transfer data download app think old app poss let download app immediately want sign monthly yearly plan option stay free app fo nth degree,1
5,xyz.klinker.messenger,Mark Young,use good app sync phone pc long sync pc send message I ve contact support follow direction improvement go use google message free waste money lifetime subscription pulse would give five star still work,1
6,xyz.klinker.messenger,BC,edit originally give onestar rating leave onestar rating even get subscription issue straighten app send mms message picture message do not matter try send phone wifi data wifi tablet browser computer show message send recipient never receive open new texting app show mms message send inexcusable pay app,1
7,xyz.klinker.messenger,Andrew “Andy” Doll,app great save message history case lose break phone text anywhere include pc edit two star stwenty - two ultra long send mms picture anyone iphone change apn setting network setting much luck go find well app get fix tutorial work fix issue,3
8,xyz.klinker.messenger,Igor Steel,original developer sell app since I ve unable sync support have not help they ve repeatedly send useless instruction apparently without look note last support rep they ve repeatedly delay respond week time completely fail help could I d ask money back app long work advertise support seem helpless update contact answer,1
9,xyz.klinker.messenger,mAtom “Ash” West,love pulse app want give five star issue prevent pro lve able name group thread set custom tone backup pay version con randomly send photo do not go originally do not show end husband pay account service well phone randomly can not send gif solution ridiculous do not prevent reoccurrance unistall reinstall etc,3
